Date : 2023-12-22 13:55:46
Directory : c:\Users\Daniel\Documents\quanto\quanto-project
Total : 199 files,  31305 codes, 907 comments, 2101 blanks, all 34313 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\Datatable.vue                                 | vue                |         10 |          0 |          3 |         13 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\DropDownMonthSelection.vue                    | vue                |         33 |          1 |         10 |         44 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\DropDownProjects.vue                          | vue                |         29 |          0 |          7 |         36 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\HelloWorld.vue                                | vue                |          4 |          0 |          2 |          6 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\HomeIcon.vue                                  | vue                |         18 |          0 |          2 |         20 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\ManageProject.vue                             | vue                |          6 |          0 |          1 |          7 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\MitarbeiterTabelle.vue                        | vue                |        123 |          0 |         16 |        139 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\NewProject.vue                                | vue                |        483 |          0 |         38 |        521 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\ProjectOverview.vue                           | vue                |        118 |          0 |          8 |        126 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\SideBarManager.vue                            | vue                |         66 |          0 |         14 |         80 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\SideBarMitarbeiter.vue                        | vue                |         68 |          0 |         15 |         83 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\SideBarProjectManager.vue                     | vue                |         65 |          0 |         14 |         79 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\SingleProject.vue                             | vue                |        176 |          0 |         41 |        217 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\SubmitFooter.vue                              | vue                |         40 |          0 |          4 |         44 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\TimeCorrectionComponent.vue                   | vue                |         61 |          2 |         27 |         90 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\TimeRegistrationComponent.vue                 | vue                |        223 |          7 |         47 |        277 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\TopBar.vue                                    | vue                |         35 |          0 |          6 |         41 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\demo\getTeamComponent.vue                     | vue                |         51 |          0 |         15 |         66 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\graphs\PositionDemoGraph.vue                  | vue                |         42 |          0 |         10 |         52 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\graphs\PositionLinearGraph.vue                | vue                |         69 |          0 |         10 |         79 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\graphs\ProjectPositionLinearGraph.vue         | vue                |         57 |          0 |          9 |         66 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\icons\BurgerMenü.svg                                     | XML                |          6 |          0 |          1 |          7 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\icons\Home.svg                                           | XML                |          9 |          0 |          1 |         10 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\icons\ManageProject.svg                                  | XML                |         10 |          0 |          1 |         11 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\icons\NewProject.svg                                     | XML                |          5 |          0 |          1 |          6 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\icons\QuantoLogo.svg                                     | XML                |          9 |          0 |          1 |         10 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\icons\Settings.svg                                       | XML                |          9 |          0 |          1 |         10 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\icons\TimeRegistration.svg                               | XML                |          9 |          0 |          1 |         10 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\icons\WorkingTimes.svg                                   | XML                |          9 |          0 |          1 |         10 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\layouts\default\Default.vue                              | vue                |         10 |          0 |          6 |         16 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\layouts\default\Submit.vue                               | vue                |         12 |          0 |          3 |         15 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\layouts\default\View.vue                                 | vue                |          8 |          0 |          2 |         10 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\main.js                                                  | JavaScript         |         47 |          9 |          7 |         63 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\plugins\index.js                                         | JavaScript         |          6 |          6 |          3 |         15 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\plugins\vuetify.js                                       | JavaScript         |         15 |          8 |          4 |         27 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\router\index.js                                          | JavaScript         |        104 |          5 |         29 |        138 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\service\ProductService.js                                | JavaScript         |         29 |          7 |         10 |         46 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\service\login.js                                         | JavaScript         |         22 |          1 |          1 |         24 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\store\app.js                                             | JavaScript         |         25 |          1 |          4 |         30 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\store\employeeList.js                                    | JavaScript         |          6 |          0 |          2 |          8 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\store\index.js                                           | JavaScript         |          2 |          1 |          2 |          5 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\store\projectPostion.js                                  | JavaScript         |          6 |          0 |          2 |          8 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\store\teamroles.js                                       | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\styles\settings.scss                                     | SCSS               |          0 |          9 |          2 |         11 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\views\AddEmployee.vue                                    | vue                |         11 |          0 |          5 |         16 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\views\Home.vue                                           | vue                |          7 |          0 |          2 |          9 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\views\LandingPage.vue                                    | vue                |          8 |          0 |          3 |         11 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\views\LoginScreen.vue                                    | vue                |        162 |          0 |         41 |        203 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\views\ManageProject.vue                                  | vue                |         17 |          0 |          2 |         19 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\views\NewProject.vue                                     | vue                |         13 |          0 |          9 |         22 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\views\TimeCorrection.vue                                 | vue                |         12 |          0 |          4 |         16 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\views\TimeRegistration.vue                               | vue                |         10 |          0 |          4 |         14 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\vite.config.js                                               | JavaScript         |         57 |          4 |          3 |         64 |
| c:\Users\Daniel\Documents\quanto\quanto-project\package-lock.json                                                                  | JSON               |        396 |          0 |          1 |        397 |
| c:\Users\Daniel\Documents\quanto\quanto-project\package.json                                                                       | JSON               |         11 |          0 |          1 |         12 |
| Total                                                                                                                              |                    |     31,305 |        907 |      2,101 |     34,313 |
+------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
